cleaned_text,compound_score,predictedSentiment_vaders,predictedSentiment_naiveBayes,predictedEmotion_nb,predictedSentiment_svm,predictedEmotion_svm
people showing disgust military parade moratuwa question spending money military medicine shortages hospitals lka srilanka gohomeranil shutupandgohome costoflivingcrisis healthcareforall srilankacrisis srilankaprotest,-0.6705,-1,-1.0,4,0.0,3
whats really gon na happen tomorrow srilanka srilankacrisis,0.0,0,-1.0,1,-1.0,3
srilanka srilankacrisis,0.0,0,0.0,1,0.0,3
lka srilanka economiccrisislk srilankacrisis srilankaprotests aragalaya electionlk lgpollssl,0.0,0,0.0,1,0.0,3
hardhitting queries raised justices matter heres summary arguments 3judge bench response fr applications filed democracy politicslk srilankaprotests srilankapolitics srilankacrisis,-0.3818,-1,0.0,5,0.0,3
srilanka srilankacrisis srilankaprotests dictatorship elections2023,0.0,0,0.0,1,0.0,3
important notification passenger buses operating highlevel road read newscutterlksrilankanews… srilankatoday srilankacrisis slnews srilanka lka srilankaprotests srilankanewstoday srilankaeconomiccrisis,0.2023,1,0.0,5,1.0,3
abduction case hirunika fixed may 9 read newscutterlksrilankanews… srilankatoday srilankacrisis slnews lka srilanka srilankaprotests srilankanewstoday srilankaeconomiccrisis,-0.5859,-1,-1.0,1,0.0,3
air quality jaffna kurunegala kandy hambantota turns unhealthy read newscutterlksrilankanews… srilankatoday slnews srilankacrisis srilankaprotests srilanka srilankanewstoday srilankaeconomiccrisis lka,-0.5267,-1,0.0,1,0.0,3
fivemember ministerial committee streamline customs procedures boost economy read newscutterlksrilankanews… slnews srilankatoday srilanka lka srilankaprotests srilankacrisis srilankanewstoday srilankaeconomiccrisis,0.4019,1,1.0,1,0.0,3
srilankaprotests srilankacrisis srilankapolitics politicslk sepiysse sri lanka online public meeting sunday oppose president ’ scuttling local elections mobilise working class defend democratic social rights wswsorgenarticles202302…,0.0,0,1.0,2,-1.0,4
cabinet nod establish national contributory pension fund read newscutterlksrilankanews… lka srilankaeconomiccrisis srilanka slnews srilankanewstoday srilankatoday srilankacrisis,0.0,0,0.0,1,0.0,1
one egg costs inr 5 chennai india 1 lkr rupee equal inr 23 cents egg rs 40 lkr much someone ripping us much eggcrisis lka srilankaprotests srilankacrisis,0.0,0,1.0,2,1.0,3
one egg costs inr 5 chennai india 1 inr equal lkr 23 cents egg rs 40 lkr much someone ripping us much eggcrisis lka srilankaprotests srilankacrisis,0.0,0,1.0,2,0.0,3
thoughts srilankaprotests srilankacrisis srilanka politicslk viewsandopinion,0.0,0,0.0,1,0.0,3
mr president sri lanka parliamentarians ’ time ’ consider srilankacrisis pakistan ministers forgo pay perks imf bailout newswirelk20230228pakis…,-0.3971,-1,0.0,4,0.0,1
key points made jvp npp leader anuradisanayake recent mass protest organized response postponement local government election nppinfo srilankaprotests srilankacrisis srilanka srilankapolitics politicslk,-0.25,-1,0.0,2,-1.0,3
cabinet approved national action plan women peace security read newscutterlksrilankanews… srilankatoday srilankacrisis slnews srilankanewstoday srilanka lka srilankaeconomiccrisis,0.8271,1,1.0,1,1.0,3
tourist arrivals top 100000 two consecutive months read newscutterlksrilankanews… slnews srilanka lka srilankanewstoday srilankaeconomiccrisis srilankatoday srilankacrisis,0.2023,1,1.0,0,0.0,3
derana cartoon lka srilanka economiccrisislk srilankacrisis srilankaprotests aragalaya electionlk lgpollssl,0.0,0,0.0,1,0.0,4
cartoon sameera kalugampitiya lka srilanka economiccrisislk srilankacrisis srilankaprotests aragalaya electionlk lgpollssl,0.0,0,0.0,1,0.0,4
අත් පා පොඩියි හිත නම් ලොකුයි akd anuradisanayake nalindajay vraieb pradeepsrimal 20230228 townhall cmb lka srilanka kalutara panadura srilankacrisis wewantelection npp පන්නමු හදමු මගේරට thistimewearefornpp මේපාරමාලිමාවට chandimahettiaratchi,0.0,0,0.0,1,0.0,3
dayan kottachchi cartoon lka srilanka economiccrisislk srilankacrisis srilankaprotests aragalaya,0.0,0,0.0,1,0.0,4
wake mass protests planned wednesday professionals major tax hikes postponement election srilankan president rwunp srilanka srilankacrisis thenewsmencoinworldahead…,-0.2263,-1,-1.0,5,1.0,3
anglican bishops noted people “ burdened painful economic measures could averted right thing done right time ” srilanka srilankacrisis election wickremesinghe licasnews20230228anglic…,-0.7096,-1,1.0,0,1.0,3
even npp chathurangaab promised look matter clue party mps knowledge matter lka srilanka npp jvp slelection srilankacrisis,0.5023,1,0.0,4,0.0,4
